trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,0,-22.33922471627373,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,2,13.54722196916978,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",25,4,-10.419617297057135,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,9,-39.03593579625529,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,15,-6.597098450001629,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",25,10,-8.350898030866142,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",25,11,-29.28014087020246,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,1,-111.99735123430874,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",25,2,-3.331692162996232,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",35,2,-24.014318575653267,"{0: 28, 1: 1, 2: 2, 3: 2, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",30,12,-63.90068219556426,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,14,10.60005193376632,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",30,16,23.623695651528948,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
